zip,yr_id,name,households
91916,2021,"$75,000 to $99,999",78
91916,2021,"$100,000 to $124,999",105
91916,2021,"$125,000 to $149,999",67
91916,2021,"$150,000 to $199,999",95
91916,2021,"$200,000 or more",68
91916,2022,"Less than $15,000",11
91916,2022,"$15,000 to $29,999",34
91916,2022,"$30,000 to $44,999",115
91916,2022,"$45,000 to $59,999",55
91916,2022,"$60,000 to $74,999",59
91916,2022,"$75,000 to $99,999",79
91916,2022,"$100,000 to $124,999",104
91916,2022,"$125,000 to $149,999",67
91916,2022,"$150,000 to $199,999",96
91916,2022,"$200,000 or more",72
91917,2020,"Less than $15,000",19
91917,2020,"$15,000 to $29,999",17
91917,2020,"$30,000 to $44,999",26
91917,2020,"$45,000 to $59,999",8
91917,2020,"$60,000 to $74,999",19
91917,2020,"$75,000 to $99,999",14
91917,2020,"$100,000 to $124,999",53
91917,2020,"$125,000 to $149,999",23
91917,2020,"$150,000 to $199,999",53
91917,2020,"$200,000 or more",31
91917,2021,"Less than $15,000",15
91917,2021,"$15,000 to $29,999",13
91917,2021,"$30,000 to $44,999",31
91917,2021,"$45,000 to $59,999",9
91917,2021,"$60,000 to $74,999",23
91917,2021,"$75,000 to $99,999",19
91917,2021,"$100,000 to $124,999",54
91917,2021,"$125,000 to $149,999",19
91917,2021,"$150,000 to $199,999",56
91917,2021,"$200,000 or more",27
91917,2022,"Less than $15,000",9
91917,2022,"$15,000 to $29,999",12
91917,2022,"$30,000 to $44,999",34
91917,2022,"$45,000 to $59,999",11
91917,2022,"$60,000 to $74,999",23
91917,2022,"$75,000 to $99,999",19
91917,2022,"$100,000 to $124,999",52
91917,2022,"$125,000 to $149,999",19
91917,2022,"$150,000 to $199,999",59
91917,2022,"$200,000 or more",29
91931,2020,"Less than $15,000",3
91931,2020,"$15,000 to $29,999",9
91931,2020,"$30,000 to $44,999",13
91931,2020,"$45,000 to $59,999",11
91931,2020,"$60,000 to $74,999",12
91931,2020,"$75,000 to $99,999",23
91931,2020,"$100,000 to $124,999",25
91931,2020,"$125,000 to $149,999",12
91931,2020,"$150,000 to $199,999",16
91931,2020,"$200,000 or more",14
91931,2021,"Less than $15,000",4
91931,2021,"$15,000 to $29,999",7
91931,2021,"$30,000 to $44,999",23
91931,2021,"$45,000 to $59,999",13
91931,2021,"$60,000 to $74,999",11
91931,2021,"$75,000 to $99,999",17
91931,2021,"$100,000 to $124,999",21
91931,2021,"$125,000 to $149,999",13
91931,2021,"$150,000 to $199,999",19
91931,2021,"$200,000 or more",13
91931,2022,"Less than $15,000",3
91931,2022,"$15,000 to $29,999",7
91931,2022,"$30,000 to $44,999",25
91931,2022,"$45,000 to $59,999",14
91931,2022,"$60,000 to $74,999",10
91931,2022,"$75,000 to $99,999",17
91931,2022,"$100,000 to $124,999",20
91931,2022,"$125,000 to $149,999",12
91931,2022,"$150,000 to $199,999",19
91931,2022,"$200,000 or more",14
91932,2020,"Less than $15,000",893
91932,2020,"$15,000 to $29,999",968
91932,2020,"$30,000 to $44,999",1243
91932,2020,"$45,000 to $59,999",1059
91932,2020,"$60,000 to $74,999",998
